date,theftType
3/20/2019,ROBBERY
3/20/2019,ROBBERY
3/20/2019,ROBBERY
3/20/2019,ROBBERY
3/20/2019,ROBBERY
3/20/2019,ROBBERY
3/20/2019,ROBBERY
3/20/2019,ROBBERY
3/20/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/21/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/22/2019,ROBBERY
3/23/2019,ROBBERY
3/23/2019,ROBBERY
3/23/2019,ROBBERY
3/23/2019,ROBBERY
3/23/2019,ROBBERY
3/23/2019,ROBBERY
3/23/2019,ROBBERY
3/23/2019,ROBBERY
3/23/2019,ROBBERY
3/23/2019,ROBBERY
3/23/2019,ROBBERY
3/23/2019,ROBBERY
3/23/2019,ROBBERY
3/23/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/24/2019,ROBBERY
3/25/2019,ROBBERY
3/25/2019,ROBBERY
3/25/2019,ROBBERY
3/25/2019,ROBBERY
3/25/2019,ROBBERY
3/25/2019,ROBBERY
3/25/2019,ROBBERY
3/25/2019,ROBBERY
3/25/2019,ROBBERY
3/25/2019,ROBBERY
3/25/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/26/2019,ROBBERY
3/27/2019,ROBBERY
3/27/2019,ROBBERY
3/27/2019,ROBBERY
3/27/2019,ROBBERY
3/27/2019,ROBBERY
3/27/2019,ROBBERY
3/27/2019,ROBBERY
3/27/2019,ROBBERY
3/27/2019,ROBBERY
3/27/2019,ROBBERY
3/27/2019,ROBBERY
3/27/2019,ROBBERY
3/27/2019,ROBBERY
3/27/2019,ROBBERY
3/28/2019,ROBBERY
3/28/2019,ROBBERY
