Date,theftType,Latitude,Longitude
8/10/2020,BURGLARY,41.89524454,-87.62816251
8/10/2020,BURGLARY,41.89993042,-87.62884927
8/9/2020,BURGLARY,41.89005721,-87.62849134
8/9/2020,BURGLARY,41.86903423,-87.68205758
8/9/2020,BURGLARY,41.88320909,-87.63322305
8/9/2020,BURGLARY,41.8920421,-87.62416503
8/9/2020,BURGLARY,41.89941016,-87.62413127
8/9/2020,BURGLARY,41.85375898,-87.63296436
8/9/2020,BURGLARY,41.76416929,-87.59483267
8/9/2020,BURGLARY,41.88575281,-87.62691912
8/9/2020,BURGLARY,41.88210207,-87.62499104
8/9/2020,BURGLARY,41.89478477,-87.63465396
8/9/2020,BURGLARY,41.6930065,-87.53648971
8/9/2020,BURGLARY,41.85519055,-87.6238712
8/9/2020,BURGLARY,41.89103987,-87.6325646
8/9/2020,BURGLARY,41.88248289,-87.62622437
8/9/2020,BURGLARY,41.90915191,-87.710173
8/9/2020,BURGLARY,41.89197075,-87.62416582
8/9/2020,BURGLARY,41.8951409,-87.62425563
8/9/2020,BURGLARY,41.89256936,-87.62200694
8/9/2020,BURGLARY,41.89486126,-87.62920617
8/9/2020,BURGLARY,41.77752265,-87.61555865
8/9/2020,BURGLARY,41.86965832,-87.71963634
8/9/2020,BURGLARY,41.79322482,-87.66456329
8/9/2020,BURGLARY,41.94578401,-87.82786681
8/9/2020,BURGLARY,41.85527325,-87.71305655
8/9/2020,BURGLARY,41.8853264,-87.63391972
8/9/2020,BURGLARY,41.89146573,-87.62415304
8/9/2020,BURGLARY,41.77714561,-87.64957426
8/8/2020,BURGLARY,41.84501581,-87.64157431
8/7/2020,BURGLARY,41.83446224,-87.72306973
8/7/2020,BURGLARY,41.72899499,-87.62704555
8/6/2020,BURGLARY,41.92362638,-87.68271896
8/6/2020,BURGLARY,41.85393075,-87.62384107
8/5/2020,BURGLARY,41.89571879,-87.76907513
8/1/2020,BURGLARY,41.97104755,-87.6694984
7/21/2020,BURGLARY,41.83568634,-87.62064461
7/18/2020,BURGLARY,41.87902168,-87.62610831
6/4/2020,BURGLARY,41.74713248,-87.60511998
6/4/2020,BURGLARY,41.77852883,-87.68606848
6/4/2020,BURGLARY,41.83977509,-87.72564682
3/27/2020,BURGLARY,41.83804465,-87.64648237
3/27/2020,BURGLARY,41.77241056,-87.58383932
3/26/2020,BURGLARY,41.88327124,-87.733413
3/26/2020,BURGLARY,41.91186462,-87.77895541
3/26/2020,BURGLARY,41.74435323,-87.57427934
3/26/2020,BURGLARY,41.77860561,-87.65933309
3/26/2020,BURGLARY,41.89561846,-87.75935362
3/26/2020,BURGLARY,41.82314029,-87.70441482
3/26/2020,BURGLARY,41.7766308,-87.68478974
3/26/2020,BURGLARY,41.96270522,-87.6530981
3/26/2020,BURGLARY,41.66515246,-87.63583564
3/26/2020,BURGLARY,41.79791797,-87.74167655
3/26/2020,BURGLARY,41.81643726,-87.69567978
3/25/2020,BURGLARY,41.75447362,-87.56264862
